Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
OLED,"Universal Display",234.91,-3.28,-1.38%,239.32,234.84,89333,"12:52 ET"
OLLI,"Ollies Bargain CS",84.09,1.79,+2.17%,84.17,81.7,215164,"12:51 ET"
OLN,"Olin Corp",26.01,0.29,+1.13%,26.43,25.82,445392,"12:51 ET"
ORI,"Old Republic International Corp",18.92,0.16,+0.85%,19.06,18.79,629226,"12:53 ET"
OSK,"Oshkosh Truck Corp",85.14,1.28,+1.53%,86.01,83.99,268057,"12:49 ET"
OZK,"Bank Ozk",31.3,0.73,+2.39%,31.5,30.9,151012,"12:49 ET"
PACW,"Pacwest Bancorp",25.14,0.93,+3.84%,25.21,24.47,294563,"12:52 ET"
PB,"Prosperity Bancshares",69.3,1.43,+2.11%,69.59,67.94,110369,"12:52 ET"
PBH,"Prestige Brand Holdings",34.93,0.33,+0.95%,35,34.48,51477,"12:51 ET"
PCH,"Potlatch Cp",51.37,2.3,+4.69%,51.68,49.64,244752,"12:48 ET"
PCTY,"Paylocity Hld Corp",216.15,3.35,+1.57%,217.23,212.3,117182,"12:52 ET"
PDCO,"Patterson Companies",32.25,-0.030000000000001,-0.09%,32.67,32.22,76698,"12:53 ET"
PEB,"Pebblebrook Hotel Trust",18.63,0.84,+4.72%,18.64,17.98,271996,"12:53 ET"
PEN,"Penumbra Inc",191.9,4.67,+2.49%,192.53,187.23,354969,"12:50 ET"
PENN,"Penn Natl Gaming Inc",97.73,2.01,+2.10%,99.18,95.59,2220648,"12:51 ET"
PII,"Polaris Industries Inc",99.56,-1.03,-1.02%,101.77,99.42,116827,"12:48 ET"
PK,"Park Hotels & Resorts Inc",17.07,0.5,+3.02%,17.13,16.51,801223,"12:53 ET"
PNFP,"Pinnacle Finl Ptnrs",64.47,1.83,+2.92%,65,62.95,118729,"12:53 ET"
PNM,"PNM Resources Inc",48.83,-0.060000000000002,-0.12%,49,48.71,466358,"12:52 ET"
POST,"Post Holdings Inc",100.43,1.72,+1.74%,100.69,98.9,145806,"12:52 ET"
PPC,"Pilgrim's Pride",19.61,0.46,+2.40%,19.63,19.13,138100,"12:51 ET"
PRAH,"Pra Health",122.74,0.70999999999999,+0.58%,123.7,122.39,105236,"12:52 ET"
PRG,"Prog Hldgs Inc",54.13,0.080000000000005,+0.15%,54.8,53.34,173333,"12:51 ET"
PRI,"Primerica Inc",134.67,1.65,+1.24%,135.9,133.84,34653,"12:50 ET"
PRSP,"Perspecta Inc",23.96,0.3,+1.27%,24.3,23.57,140910,"12:47 ET"
PSB,"Business Parks",130.78,-0.55000000000001,-0.42%,133.03,130.78,12488,"12:45 ET"
PTC,"Ptc Inc",120.14,0.12,+0.10%,121.25,119.34,107374,"12:52 ET"
PZZA,"Papa John's Intl",86.51,-0.039999999999992,-0.05%,87.22,85.79,73425,"12:48 ET"
